nb paths,vanilla anti call px,vanilla anti call se,vanilla call px,vanilla call se,vanilla put anti px,vanilla put anti se,vanilla put px,vanilla put se,double barrier anti px,double barrier anti se,double barrier px,double barrier se
2,16.6321,10.4926,0,0,11.1106,6.0911,22.2211,12.1822,0,0,0,0
4,9.46143,5.98962,1.90702,1.90702,6.39154,3.73315,11.2434,8.05703,0.247512,0.142901,0.247512,0.247512
8,6.83682,3.06722,1.77166,1.05339,4.82775,1.96094,8.34334,4.2175,0.309391,0.0905803,0.371269,0.181161
16,5.80682,1.64926,3.05435,1.22172,4.26069,1.11097,6.21961,2.41708,0.309391,0.0766223,0.371269,0.123756
32,5.13318,0.935898,3.87049,0.909283,3.85439,0.659002,4.72598,1.44603,0.309391,0.0484432,0.402208,0.0873323
64,4.74612,0.549024,4.40192,0.78379,3.62285,0.402996,3.83028,0.82118,0.348064,0.0360297,0.371269,0.0603869
128,4.80015,0.365561,4.68669,0.610805,3.68872,0.275691,3.75447,0.53907,0.332595,0.0258181,0.348064,0.041946
256,4.58108,0.244891,4.74,0.432234,3.52272,0.187595,3.37041,0.351531,0.334529,0.0177668,0.336462,0.0293664
512,4.43115,0.160214,4.25152,0.281983,3.42172,0.125069,3.55766,0.242982,0.345164,0.0120129,0.359667,0.0210641
1024,4.3186,0.10766,4.2178,0.193582,3.34078,0.0853453,3.41248,0.165278,0.344197,0.00861045,0.351932,0.0148164
2048,4.41071,0.0771875,4.4308,0.146033,3.41648,0.0606443,3.39945,0.114462,0.339363,0.005959,0.341296,0.0104003
4096,4.45203,0.0541254,4.41419,0.102827,3.4533,0.0428141,3.48305,0.081456,0.339363,0.0042751,0.338638,0.00733954
8192,4.50626,0.038211,4.53811,0.0734795,3.49938,0.0303294,3.47468,0.0576317,0.335375,0.00304921,0.336825,0.00518281
10000,4.51101,0.0343737,4.55435,0.0666418,3.50501,0.0273595,3.47297,0.0519087,0.333746,0.00274766,0.336221,0.00468885
