i;prices_koCall;prices_kiCall;prices_koPut;prices_kiPut;richardson_koCall;richardson_kiCall;richardson_koPut;richardson_kiPut;cv_koCall;cv_kiCall;cv_koPut;cv_kiPut;
0;0;-1.#IND;0;-1.#IND;9.38454;-1.#IND;10.3802;-1.#IND;-1.#IND;-1.#IND;-1.#IND;-1.#IND;
1;4.69696;0;5.19529;0;-1.03344;4.41647;-0.290178;4.17045;3.72409;-0.972865;4.2216;-0.97369;
2;3.50244;0;4.00036;0;2.82191;1.48315;3.50499;1.2975;3.72409;0.221653;4.2216;0.22124;
3;1.8289;2.21044;2.44982;2.08731;3.27237;0.381634;3.89414;0.257334;1.51365;1.89519;2.13429;1.77178;
4;2.34848;1.30454;2.96984;1.18089;1.89339;2.08244;2.52206;1.95125;2.41955;1.37561;3.04071;1.25175;
5;3.16184;0.742316;3.75243;0.649396;0.450112;3.23468;3.47817;0.704117;2.98178;0.562256;3.5722;0.469171;
6;1.73657;1.9621;2.35759;1.83872;3.78073;0.0812427;4.38277;-0.023297;1.76199;1.98753;2.38288;1.86401;
7;2.55135;1.29513;3.1727;1.17141;2.51243;1.18161;3.13191;1.05962;2.42897;1.17274;3.05019;1.0489;
8;2.89809;0.820513;3.49638;0.719832;1.76857;2.0375;2.41914;1.88444;2.90358;0.826006;3.50177;0.725222;
9;2.12071;1.69388;2.74573;1.56646;2.19614;1.50185;2.82125;1.37424;2.03021;1.60338;2.65514;1.47587;
10;2.56295;1.16596;3.18047;1.04604;1.44871;2.32484;2.07769;2.19336;2.55813;1.16114;3.17556;1.04113;
11;1.80462;1.98975;3.61516;0.676784;3.63176;0.0682696;3.04878;1.14876;1.73435;1.91947;3.54481;0.606436;
12;2.28391;1.45086;2.90856;1.32379;2.90154;0.851081;3.51268;0.737446;2.27323;1.44018;2.89781;1.31304;
13;2.75967;1.02073;3.37119;0.906783;2.1919;1.50932;2.82343;1.3753;2.70336;0.964423;3.31482;0.85041;
14;2.05222;1.68607;2.67675;1.5591;2.6793;1.0589;3.30235;0.933356;2.03802;1.67187;2.6625;1.54485;
15;2.53187;1.23831;3.15228;1.11546;1.99709;1.70489;2.62648;1.57301;2.48578;1.19222;3.10614;1.06931;
16;1.85848;1.88197;3.46159;0.776419;2.47962;1.24816;2.1286;2.09669;1.84212;1.86561;3.44518;0.760005;
